Beginning evaluating......
==========================================================
Finish evaluating data165:(TP, TN, FP1, FP2, FN)=(185, 31, 3, 1, 4)
Finish evaluating data166:(TP, TN, FP1, FP2, FN)=(342, 94, 0, 13, 2)
Finish evaluating data167:(TP, TN, FP1, FP2, FN)=(590, 16, 4, 15, 9)
Finish evaluating data168:(TP, TN, FP1, FP2, FN)=(203, 123, 0, 16, 2)
==========================================================
Number of true positive: 49773
Number of true negative: 6259
Number of false positive FP1: 822
Number of false positive FP2: 698
Number of false negative: 638
accuracy: 0.9629145901357622
precision: 0.9703663267892305
recall: 0.9873440320564956
Done......
